"","Location","cig_smoke","toba_smoke","toba_use","HealyWarningsOnSmoking","MostSoldBrandCigaretteCurrency","MostSoldBrandCigarettePrice","TreatmentInHealthFacilities","BanOnEducationalFacilites","BanOnGovernmentFacilites","BanOnHealthcareFacilites","BanOnIndoorOffices","BanOnPublicTransport","BanOnPubsAndBars","BanOnRestaurants","BanOnUniversities","RegulationsOnSmokeFreeEnvironments","Year"
"161","Belarus",25.7,27.5,27.5,"Not applicable","BYR","9,600","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"162","Belgium",23.8,25.5,25.5,"No","EUR","6.32","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"163","Benin",4.3,11.8,2.2,"No","XOF","500","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"164","Bosnia and Herzegovina",31.5,39.1,39.1,"Not applicable","BAM","4.5","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"165","Botswana",25.8,33.1,24.3,"Not applicable","BWP","33.33","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"166","Brazil",16.2,14.2,17.8,"No","BRL","6.24","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"167","Brunei Darussalam",2.1,2.7,2.7,"No","Not applicable","Not applicable","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"168","Bulgaria",36.7,40.1,40.1,"No","BGN","4.9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"169","Burkina Faso",10.1,2.1,25.6,"Yes","XOF","650","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"170","Burundi",14.9,2.3,19.6,"Not applicable","BIF","1,600","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"171","Cambodia",2.1,2.3,40.1,"Yes","KHR","2,000","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"172","Cameroon",14.9,14.9,17.5,"No","XAF","500","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"173","Canada",13.6,14.1,19.1,"No","CAD","10.29","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"174","Chad",12.4,17.9,2.6,"Yes","XAF","750","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"175","Chile",35,45.5,45.5,"Yes","CLP","2,178","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"176","China",23.2,25.1,25.1,"Not applicable","CNY","12.84","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"177","Colombia",3.7,4.1,4.1,"Yes","COP","2,726","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"178","Comoros",19.2,23.3,20.9,"No","KMF","750","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"179","Congo",11.3,12,2.1,"No","XAF","650","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"180","Cook Islands",22.4,28,28,"No","NZD","21.7","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"181","Costa Rica",4.9,15.6,15.6,"Yes","CRC","1,700","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"182","Croatia",32.7,36.3,36.3,"No","HRK","24","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"183","Cuba",20.6,28.6,28.6,"No","CUP","7","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"184","Cyprus",30.4,37.1,37.1,"No","EUR","4.2","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"185","Czechia",27.1,31.9,31.9,"No","CZK","84","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
